INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (19, 2, '2025-06-02 10:59:00', '2025-06-09 23:59:59.000000', '2025-06-09 10:00:00.000000', '2025-06-02 10:59:00', '1', '2025-06-09 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 76, '2025-06-04 16:16:00', '2025-06-11 23:59:59.000000', '2025-06-11 13:00:00.000000', '2025-06-04 16:16:00', '1', '2025-06-11 13:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 1, '2025-06-03 14:34:00', '2025-06-10 23:59:59.000000', '2025-06-10 08:00:00.000000', '2025-06-03 14:34:00', '2', '2025-06-10 08:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 66, '2025-06-03 12:11:00', '2025-06-10 23:59:59.000000', '2025-06-10 11:00:00.000000', '2025-06-03 12:11:00', '2', '2025-06-10 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (3, 81, '2025-06-03 09:58:00', '2025-06-10 23:59:59.000000', '2025-06-10 13:00:00.000000', '2025-06-03 09:58:00', '2', '2025-06-10 13:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (16, 56, '2025-07-01 08:11:00', '2025-07-08 23:59:59.000000', '2025-07-08 10:00:00.000000', '2025-07-01 08:11:00', '2', '2025-07-08 10:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (16, 61, '2025-07-01 10:39:00', '2025-07-08 23:59:59.000000', '2025-07-08 14:00:00.000000', '2025-07-01 10:39:00', '2', '2025-07-08 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (16, 77, '2025-07-04 14:53:00', '2025-07-11 23:59:59.000000', '2025-07-11 14:00:00.000000', '2025-07-04 14:53:00', '1', '2025-07-11 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (3, 75, '2025-07-01 10:23:00', '2025-07-08 23:59:59.000000', '2025-07-08 10:00:00.000000', '2025-07-01 10:23:00', '2', '2025-07-08 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (3, 41, '2025-07-03 13:42:00', '2025-07-10 23:59:59.000000', '2025-07-10 09:00:00.000000', '2025-07-03 13:42:00', '1', '2025-07-10 09:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (2, 83, '2025-07-01 10:35:00', '2025-07-08 23:59:59.000000', '2025-07-08 11:00:00.000000', '2025-07-01 10:35:00', '1', '2025-07-08 11:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (2, 59, '2025-07-02 16:27:00', '2025-07-09 23:59:59.000000', '2025-07-09 08:00:00.000000', '2025-07-02 16:27:00', '1', '2025-07-09 08:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (2, 73, '2025-07-05 14:43:00', '2025-07-12 23:59:59.000000', '2025-07-12 13:00:00.000000', '2025-07-05 14:43:00', '1', '2025-07-12 13:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 72, '2025-07-01 10:08:00', '2025-07-08 23:59:59.000000', '2025-07-08 13:00:00.000000', '2025-07-01 10:08:00', '2', '2025-07-08 13:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 38, '2025-07-02 12:55:00', '2025-07-09 23:59:59.000000', '2025-07-09 09:00:00.000000', '2025-07-02 12:55:00', '2', '2025-07-09 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (10, 74, '2025-07-02 09:49:00', '2025-07-09 23:59:59.000000', '2025-07-09 14:00:00.000000', '2025-07-02 09:49:00', '1', '2025-07-09 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (10, 39, '2025-07-04 14:32:00', '2025-07-11 23:59:59.000000', '2025-07-11 10:00:00.000000', '2025-07-04 14:32:00', '2', '2025-07-11 10:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (9, 82, '2025-07-02 10:05:00', '2025-07-09 23:59:59.000000', '2025-07-09 14:00:00.000000', '2025-07-02 10:05:00', '2', '2025-07-09 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (9, 2, '2025-07-04 16:19:00', '2025-07-11 23:59:59.000000', '2025-07-11 08:00:00.000000', '2025-07-04 16:19:00', '1', '2025-07-11 08:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (19, 57, '2025-07-02 10:36:00', '2025-07-09 23:59:59.000000', '2025-07-09 14:00:00.000000', '2025-07-02 10:36:00', '1', '2025-07-09 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (19, 47, '2025-07-03 10:14:00', '2025-07-10 23:59:59.000000', '2025-07-10 12:00:00.000000', '2025-07-03 10:14:00', '2', '2025-07-10 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (19, 35, '2025-07-03 15:14:00', '2025-07-10 23:59:59.000000', '2025-07-10 14:00:00.000000', '2025-07-03 15:14:00', '1', '2025-07-10 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (1, 70, '2025-07-02 12:24:00', '2025-07-09 23:59:59.000000', '2025-07-09 12:00:00.000000', '2025-07-02 12:24:00', '2', '2025-07-09 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (1, 53, '2025-07-03 14:42:00', '2025-07-10 23:59:59.000000', '2025-07-10 11:00:00.000000', '2025-07-03 14:42:00', '1', '2025-07-10 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (8, 37, '2025-07-03 16:13:00', '2025-07-10 23:59:59.000000', '2025-07-10 10:00:00.000000', '2025-07-03 16:13:00', '2', '2025-07-10 10:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (8, 34, '2025-07-04 16:40:00', '2025-07-11 23:59:59.000000', '2025-07-11 14:00:00.000000', '2025-07-04 16:40:00', '2', '2025-07-11 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 3, '2025-07-03 11:50:00', '2025-07-10 23:59:59.000000', '2025-07-10 11:00:00.000000', '2025-07-03 11:50:00', '2', '2025-07-10 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 58, '2025-07-03 09:30:00', '2025-07-10 23:59:59.000000', '2025-07-10 11:00:00.000000', '2025-07-03 09:30:00', '2', '2025-07-10 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 79, '2025-07-04 13:06:00', '2025-07-11 23:59:59.000000', '2025-07-11 11:00:00.000000', '2025-07-04 13:06:00', '1', '2025-07-11 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 76, '2025-07-03 11:30:00', '2025-07-10 23:59:59.000000', '2025-07-10 15:00:00.000000', '2025-07-03 11:30:00', '2', '2025-07-10 15:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 60, '2025-07-03 09:19:00', '2025-07-10 23:59:59.000000', '2025-07-10 14:00:00.000000', '2025-07-03 09:19:00', '1', '2025-07-10 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 54, '2025-07-04 10:08:00', '2025-07-11 23:59:59.000000', '2025-07-11 11:00:00.000000', '2025-07-04 10:08:00', '1', '2025-07-11 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (14, 51, '2025-07-03 08:54:00', '2025-07-10 23:59:59.000000', '2025-07-10 12:00:00.000000', '2025-07-03 08:54:00', '1', '2025-07-10 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 69, '2025-07-03 10:45:00', '2025-07-10 23:59:59.000000', '2025-07-10 10:00:00.000000', '2025-07-03 10:45:00', '1', '2025-07-10 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 48, '2025-07-04 15:34:00', '2025-07-11 23:59:59.000000', '2025-07-11 10:00:00.000000', '2025-07-04 15:34:00', '1', '2025-07-11 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 55, '2025-07-04 09:13:00', '2025-07-11 23:59:59.000000', '2025-07-11 09:00:00.000000', '2025-07-04 09:13:00', '2', '2025-07-11 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (29, 80, '2025-07-03 11:45:00', '2025-07-10 23:59:59.000000', '2025-07-10 12:00:00.000000', '2025-07-03 11:45:00', '1', '2025-07-10 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (4, 66, '2025-07-03 09:58:00', '2025-07-10 23:59:59.000000', '2025-07-10 09:00:00.000000', '2025-07-03 09:58:00', '2', '2025-07-10 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (7, 81, '2025-07-03 17:19:00', '2025-07-10 23:59:59.000000', '2025-07-10 13:00:00.000000', '2025-07-03 17:19:00', '2', '2025-07-10 13:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 46, '2025-07-04 16:17:00', '2025-07-11 23:59:59.000000', '2025-07-11 09:00:00.000000', '2025-07-04 16:17:00', '1', '2025-07-11 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 42, '2025-07-04 15:34:00', '2025-07-11 23:59:59.000000', '2025-07-11 13:00:00.000000', '2025-07-04 15:34:00', '2', '2025-07-11 13:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 83, '2025-08-01 10:42:00', '2025-08-08 23:59:59.000000', '2025-08-08 14:00:00.000000', '2025-08-01 10:42:00', '2', '2025-08-08 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 82, '2025-08-01 15:34:00', '2025-08-08 23:59:59.000000', '2025-08-08 13:00:00.000000', '2025-08-01 15:34:00', '2', '2025-08-08 13:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 52, '2025-08-01 09:09:00', '2025-08-08 23:59:59.000000', '2025-08-08 09:00:00.000000', '2025-08-01 09:09:00', '2', '2025-08-08 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (4, 50, '2025-08-01 09:04:00', '2025-08-08 23:59:59.000000', '2025-08-08 09:00:00.000000', '2025-08-01 09:04:00', '2', '2025-08-08 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (4, 56, '2025-08-01 12:43:00', '2025-08-08 23:59:59.000000', '2025-08-08 08:00:00.000000', '2025-08-01 12:43:00', '1', '2025-08-08 08:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (4, 68, '2025-08-04 15:28:00', '2025-08-11 23:59:59.000000', '2025-08-11 09:00:00.000000', '2025-08-04 15:28:00', '2', '2025-08-11 09:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 36, '2025-08-01 10:06:00', '2025-08-08 23:59:59.000000', '2025-08-08 11:00:00.000000', '2025-08-01 10:06:00', '2', '2025-08-08 11:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 43, '2025-08-02 16:59:00', '2025-08-09 23:59:59.000000', '2025-08-09 09:00:00.000000', '2025-08-02 16:59:00', '1', '2025-08-09 09:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (7, 42, '2025-08-01 10:58:00', '2025-08-08 23:59:59.000000', '2025-08-08 10:00:00.000000', '2025-08-01 10:58:00', '1', '2025-08-08 10:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 47, '2025-08-01 13:59:00', '2025-08-08 23:59:59.000000', '2025-08-08 10:00:00.000000', '2025-08-01 13:59:00', '2', '2025-08-08 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 44, '2025-08-05 11:53:00', '2025-08-12 23:59:59.000000', '2025-08-12 10:00:00.000000', '2025-08-05 11:53:00', '1', '2025-08-12 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 49, '2025-08-05 08:32:00', '2025-08-12 23:59:59.000000', '2025-08-12 12:00:00.000000', '2025-08-05 08:32:00', '2', '2025-08-12 12:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (8, 78, '2025-08-01 10:11:00', '2025-08-08 23:59:59.000000', '2025-08-08 13:00:00.000000', '2025-08-01 10:11:00', '2', '2025-08-08 13:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (8, 80, '2025-08-01 14:03:00', '2025-08-08 23:59:59.000000', '2025-08-08 09:00:00.000000', '2025-08-01 14:03:00', '2', '2025-08-08 09:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (8, 45, '2025-08-04 08:39:00', '2025-08-11 23:59:59.000000', '2025-08-11 11:00:00.000000', '2025-08-04 08:39:00', '2', '2025-08-11 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (9, 40, '2025-08-01 15:21:00', '2025-08-08 23:59:59.000000', '2025-08-08 12:00:00.000000', '2025-08-01 15:21:00', '1', '2025-08-08 12:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (2, 46, '2025-08-01 17:03:00', '2025-08-08 23:59:59.000000', '2025-08-08 08:00:00.000000', '2025-08-01 17:03:00', '1', '2025-08-08 08:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (14, 74, '2025-08-02 17:03:00', '2025-08-09 23:59:59.000000', '2025-08-09 11:00:00.000000', '2025-08-02 17:03:00', '2', '2025-08-09 11:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 53, '2025-08-02 14:29:00', '2025-08-09 23:59:59.000000', '2025-08-09 10:00:00.000000', '2025-08-02 14:29:00', '2', '2025-08-09 10:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 48, '2025-08-05 08:17:00', '2025-08-12 23:59:59.000000', '2025-08-12 14:00:00.000000', '2025-08-05 08:17:00', '2', '2025-08-12 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (28, 58, '2025-08-05 11:42:00', '2025-08-12 23:59:59.000000', '2025-08-12 09:00:00.000000', '2025-08-05 11:42:00', '2', '2025-08-12 09:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 1, '2025-08-04 16:07:00', '2025-08-11 23:59:59.000000', '2025-08-11 15:00:00.000000', '2025-08-04 16:07:00', '2', '2025-08-11 15:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 39, '2025-08-04 11:35:00', '2025-08-11 23:59:59.000000', '2025-08-11 12:00:00.000000', '2025-08-04 11:35:00', '1', '2025-08-11 12:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 76, '2025-08-04 14:58:00', '2025-08-11 23:59:59.000000', '2025-08-11 14:00:00.000000', '2025-08-04 14:58:00', '1', '2025-08-11 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 81, '2025-08-05 09:20:00', '2025-08-12 23:59:59.000000', '2025-08-12 11:00:00.000000', '2025-08-05 09:20:00', '1', '2025-08-12 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 62, '2025-08-05 17:20:00', '2025-08-12 23:59:59.000000', '2025-08-12 11:00:00.000000', '2025-08-05 17:20:00', '2', '2025-08-12 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 45, '2025-09-01 17:18:00', '2025-09-08 23:59:59.000000', '2025-09-08 15:00:00.000000', '2025-09-01 17:18:00', '1', '2025-09-08 15:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 47, '2025-09-01 16:52:00', '2025-09-08 23:59:59.000000', '2025-09-08 11:00:00.000000', '2025-09-01 16:52:00', '1', '2025-09-08 11:00:00.000000', '1');
